工序编号,操作名称,可选机器/供应商,单位成本,采购所需时间,加工时间,前置工序
1,零部件采购1,"A,B","18,15","6,10",,
2,零部件采购2,"C,D,E,F,G","22,14,19,16,20","7,12,8,11,6",,
3,零部件采购3,"H,I,J","17,13,19","9,13,7",,
4,零部件采购4,"K,L","16,19","12,5",,
5,零部件采购5,"M,N,O,P","15,21,18,14","10,6,8,11",,
6,零部件采购6,"Q,R,S","20,15,17","8,12,9",,
7,零部件采购7,"T,U,V,W,X","19,13,22,16,20","7,13,6,10,8",,
8,部装,"D1,D2,D3,D4",,,"12/2,12/3,12/2,12/3","1,2,3"
9,部装,"D1,D2,D3,D4",,,"26/2,26/3,26/2,26/3","4,5,6"
10,部装,"D1,D2,D3,D4",,,"18/2,18/3,18/2,18/3","8,9"
11,总装,"F1,F2,F3,F4",,,"30/3,30/4,30/3,30/4","7,10"
